               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098203,             0.22176,              0.0818,           0.0035389,            0.038473,           0.0031374,          0.00091505,            0.092089,             0.17628,            0.077901,           0.0033329,           0.0033329,            0.070004
                   1,            0.087489,              0.2258,            0.074329,             0.44666,            0.049103,            0.018493,           0.0056582,            0.083428,             0.17483,            0.067053,           0.0066647,           0.0066647,            0.040003
                   2,            0.080983,             0.22426,            0.063642,             0.24487,             0.13183,            0.066103,            0.025353,              0.0768,             0.17172,            0.054323,           0.0099907,           0.0099907,           0.0099952
                   3,            0.076535,             0.21991,            0.053733,             0.28663,             0.17679,             0.12541,            0.053051,            0.072706,             0.16794,            0.045278,             0.00998,             0.00998,             0.00998
                   4,            0.073961,             0.21617,             0.04799,             0.31986,             0.20339,             0.16223,            0.070771,            0.070648,             0.16539,            0.040933,             0.00998,             0.00998,             0.00998
                   5,             0.07248,             0.21374,            0.044749,             0.33699,             0.21754,              0.1878,            0.084024,             0.06947,             0.16386,            0.038608,           0.0099645,           0.0099645,           0.0099645
                   6,             0.07127,             0.21128,            0.042634,             0.36905,             0.23019,             0.20489,            0.093137,            0.068766,             0.16258,            0.037157,           0.0099446,           0.0099446,           0.0099446
                   7,            0.070508,             0.20981,            0.041013,             0.34958,             0.25453,             0.21737,             0.10057,            0.068226,             0.16157,             0.03618,           0.0099203,           0.0099203,           0.0099203
                   8,            0.069966,             0.20921,             0.03991,             0.37458,             0.25589,             0.22658,             0.10576,            0.067844,             0.16086,            0.035404,           0.0098916,           0.0098916,           0.0098916
                   9,            0.069517,             0.20788,            0.039031,             0.39132,             0.26484,             0.23785,             0.11167,            0.067493,             0.16018,            0.034713,           0.0098586,           0.0098586,           0.0098586
                  10,            0.069086,              0.2069,            0.038356,             0.39576,             0.27245,             0.24513,             0.11578,            0.067127,             0.15956,            0.034059,           0.0098213,           0.0098213,           0.0098213
                  11,             0.06876,             0.20695,             0.03769,             0.40915,             0.27424,             0.25381,             0.12072,            0.066808,             0.15901,            0.033484,           0.0097798,           0.0097798,           0.0097798
                  12,             0.06856,             0.20586,            0.037222,             0.40029,             0.28507,             0.26232,             0.12598,             0.06646,             0.15847,            0.032929,            0.009734,            0.009734,            0.009734
                  13,            0.068319,             0.20522,            0.036757,             0.41194,             0.29208,             0.27018,             0.13009,            0.066154,             0.15787,            0.032295,            0.009684,            0.009684,            0.009684
                  14,            0.068002,             0.20446,            0.036345,             0.44647,             0.28376,             0.27788,             0.13479,            0.065805,             0.15741,            0.031799,           0.0096299,           0.0096299,           0.0096299
                  15,            0.067822,             0.20454,            0.036047,              0.4565,             0.28825,             0.28548,             0.13893,            0.065537,             0.15682,             0.03125,           0.0095717,           0.0095717,           0.0095717
                  16,            0.067666,             0.20385,             0.03577,             0.45775,             0.29658,             0.29226,              0.1441,            0.065243,             0.15631,            0.030808,           0.0095095,           0.0095095,           0.0095095
                  17,             0.06756,             0.20387,            0.035551,              0.4741,               0.299,             0.29875,             0.14738,            0.064962,             0.15598,            0.030385,           0.0094434,           0.0094434,           0.0094434
                  18,            0.067349,             0.20252,            0.035288,             0.44502,             0.30765,             0.30392,             0.15116,            0.064709,             0.15549,            0.029956,           0.0093733,           0.0093733,           0.0093733
                  19,            0.067195,             0.20323,            0.035084,             0.44326,             0.32225,             0.31063,             0.15518,            0.064474,             0.15506,            0.029585,           0.0092995,           0.0092995,           0.0092995
                  20,            0.067124,             0.20253,            0.034799,             0.47784,             0.31236,             0.31526,             0.15821,            0.064244,             0.15479,            0.029222,           0.0092219,           0.0092219,           0.0092219
                  21,            0.067017,              0.2022,            0.034686,             0.42468,             0.33761,             0.32099,             0.16134,            0.064025,             0.15457,            0.028919,           0.0091406,           0.0091406,           0.0091406
                  22,            0.066969,             0.20266,            0.034477,             0.48182,             0.32149,             0.32549,             0.16368,            0.063823,             0.15427,            0.028648,           0.0090557,           0.0090557,           0.0090557
                  23,            0.066843,             0.20232,            0.034368,             0.47177,             0.33106,             0.32971,             0.16714,            0.063657,             0.15407,            0.028395,           0.0089673,           0.0089673,           0.0089673
                  24,             0.06686,             0.20231,            0.034194,             0.46796,             0.33458,             0.33468,             0.16947,            0.063504,             0.15387,            0.028194,           0.0088755,           0.0088755,           0.0088755
                  25,            0.066633,             0.20163,            0.034055,             0.48449,             0.32941,             0.33536,             0.17012,            0.063381,             0.15369,            0.028009,           0.0087804,           0.0087804,           0.0087804
                  26,            0.066573,              0.2018,            0.033931,             0.48684,             0.33145,              0.3384,             0.17234,            0.063221,             0.15361,            0.027775,            0.008682,            0.008682,            0.008682
                  27,             0.06644,             0.20094,            0.033759,             0.46413,              0.3449,             0.34176,             0.17418,            0.063087,             0.15344,            0.027565,           0.0085805,           0.0085805,           0.0085805
                  28,            0.066398,             0.20093,            0.033685,              0.4954,             0.33702,             0.34624,             0.17566,            0.063008,             0.15327,            0.027464,           0.0084759,           0.0084759,           0.0084759
                  29,            0.066339,              0.2009,              0.0335,             0.49985,             0.34043,             0.34681,             0.17638,            0.062899,             0.15313,            0.027286,           0.0083684,           0.0083684,           0.0083684
                  30,            0.066162,             0.20044,            0.033441,             0.48924,              0.3428,              0.3489,             0.17872,            0.062833,             0.15298,            0.027154,           0.0082581,           0.0082581,           0.0082581
                  31,            0.066168,             0.20063,            0.033216,             0.46474,             0.35975,             0.35269,             0.17966,             0.06273,             0.15274,            0.027013,            0.008145,            0.008145,            0.008145
                  32,            0.066139,             0.20051,            0.033138,             0.47796,             0.35526,             0.35415,             0.18146,             0.06264,             0.15264,            0.026833,           0.0080294,           0.0080294,           0.0080294
                  33,            0.065995,             0.20057,            0.033073,             0.49723,             0.34894,             0.35634,             0.18193,            0.062565,             0.15268,            0.026774,           0.0079112,           0.0079112,           0.0079112
                  34,            0.065948,             0.20028,            0.032897,             0.51276,             0.34647,             0.35972,             0.18463,            0.062455,             0.15248,            0.026601,           0.0077907,           0.0077907,           0.0077907
                  35,            0.065966,             0.20023,            0.032822,             0.54715,             0.33328,             0.35954,             0.18515,             0.06239,             0.15248,            0.026551,           0.0076679,           0.0076679,           0.0076679
                  36,            0.065737,             0.19957,            0.032722,             0.50513,             0.35342,             0.36359,             0.18542,            0.062321,             0.15232,            0.026431,            0.007543,            0.007543,            0.007543
                  37,            0.065708,             0.19938,            0.032583,             0.51463,             0.35216,             0.36308,              0.1864,            0.062275,             0.15227,            0.026347,            0.007416,            0.007416,            0.007416
                  38,              0.0657,             0.19982,            0.032509,             0.52828,             0.34648,             0.36507,             0.18813,            0.062201,             0.15205,            0.026215,           0.0072872,           0.0072872,           0.0072872
                  39,             0.06565,              0.1993,            0.032405,             0.50605,             0.35588,             0.36565,             0.18817,            0.062137,             0.15205,            0.026085,           0.0071566,           0.0071566,           0.0071566
