               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096398,             0.22131,            0.081672,             0.23267,            0.028114,           0.0042586,           0.0013627,            0.089001,             0.17322,            0.077513,           0.0033329,           0.0033329,            0.070004
                   1,            0.083739,             0.22347,            0.072584,             0.37511,             0.09038,            0.034833,            0.013303,            0.078157,             0.17093,            0.062769,           0.0066647,           0.0066647,            0.040003
                   2,            0.077551,             0.22022,            0.059953,             0.30925,             0.15166,            0.097179,            0.041556,            0.072955,             0.16655,            0.049769,           0.0099907,           0.0099907,           0.0099952
                   3,            0.074361,             0.21601,            0.050889,             0.27909,             0.21736,             0.15749,            0.071011,            0.070122,             0.16289,            0.042098,             0.00998,             0.00998,             0.00998
                   4,            0.072376,             0.21276,            0.046031,              0.3186,             0.23508,              0.1935,             0.08946,            0.068597,             0.16103,             0.03859,             0.00998,             0.00998,             0.00998
                   5,            0.071278,             0.21084,            0.043308,             0.35171,             0.25255,             0.21544,             0.10101,            0.067766,              0.1599,            0.036674,           0.0099645,           0.0099645,           0.0099645
                   6,            0.070324,             0.20877,            0.041553,             0.39353,             0.25528,             0.23116,             0.10949,            0.067295,             0.15893,            0.035547,           0.0099446,           0.0099446,           0.0099446
                   7,            0.069805,             0.20775,            0.040254,             0.40686,             0.25819,             0.24098,             0.11658,            0.066895,             0.15837,            0.034718,           0.0099203,           0.0099203,           0.0099203
                   8,            0.069427,             0.20731,            0.039357,             0.42099,              0.2608,              0.2495,             0.11937,            0.066623,             0.15788,            0.034078,           0.0098916,           0.0098916,           0.0098916
                   9,             0.06913,             0.20631,            0.038657,             0.43792,             0.26915,             0.25911,             0.12626,            0.066347,             0.15739,            0.033578,           0.0098586,           0.0098586,           0.0098586
                  10,            0.068836,             0.20555,            0.038117,             0.41477,              0.2828,             0.26452,             0.12959,            0.066111,             0.15708,            0.033103,           0.0098213,           0.0098213,           0.0098213
                  11,            0.068639,             0.20578,            0.037594,             0.40593,             0.29762,             0.27268,              0.1344,            0.065854,             0.15647,            0.032609,           0.0097798,           0.0097798,           0.0097798
                  12,            0.068527,             0.20488,            0.037226,             0.42417,             0.29776,             0.27979,             0.13875,            0.065605,             0.15615,            0.032128,            0.009734,            0.009734,            0.009734
                  13,            0.068357,             0.20446,            0.036875,             0.43296,             0.29713,              0.2853,             0.14151,            0.065394,             0.15564,            0.031654,            0.009684,            0.009684,            0.009684
                  14,            0.068143,             0.20378,            0.036557,             0.47218,             0.29153,             0.29326,             0.14521,            0.065207,             0.15528,            0.031206,           0.0096299,           0.0096299,           0.0096299
                  15,            0.068022,             0.20397,            0.036269,             0.45099,             0.30535,             0.29795,             0.14828,            0.065014,             0.15504,            0.030801,           0.0095717,           0.0095717,           0.0095717
                  16,            0.067915,             0.20336,            0.036012,             0.43508,             0.31619,             0.30223,             0.15122,            0.064793,             0.15465,            0.030388,           0.0095095,           0.0095095,           0.0095095
                  17,            0.067872,             0.20347,              0.0359,             0.46728,             0.31106,             0.30795,               0.154,            0.064659,             0.15436,            0.030064,           0.0094434,           0.0094434,           0.0094434
                  18,            0.067697,             0.20226,            0.035626,             0.48418,             0.30735,             0.31137,             0.15629,            0.064486,             0.15405,             0.02969,           0.0093733,           0.0093733,           0.0093733
                  19,            0.067606,             0.20297,            0.035492,             0.47199,             0.31507,             0.31505,             0.15902,            0.064283,             0.15393,            0.029408,           0.0092995,           0.0092995,           0.0092995
                  20,            0.067561,              0.2024,             0.03522,             0.47078,              0.3269,             0.31983,             0.16117,            0.064113,             0.15382,            0.029135,           0.0092219,           0.0092219,           0.0092219
                  21,            0.067476,             0.20212,            0.035125,             0.48852,             0.31953,              0.3261,             0.16484,            0.063993,              0.1534,            0.028811,           0.0091406,           0.0091406,           0.0091406
                  22,            0.067472,             0.20266,            0.035008,             0.49951,             0.32164,              0.3296,             0.16588,             0.06385,             0.15321,            0.028547,           0.0090557,           0.0090557,           0.0090557
                  23,            0.067354,             0.20233,            0.034888,             0.48235,             0.33527,             0.33403,             0.16838,            0.063727,             0.15301,            0.028271,           0.0089673,           0.0089673,           0.0089673
                  24,            0.067388,             0.20243,            0.034764,             0.46466,             0.34596,             0.33506,             0.16879,            0.063609,               0.153,            0.028069,           0.0088755,           0.0088755,           0.0088755
                  25,            0.067195,             0.20191,            0.034632,             0.47831,             0.34455,             0.33929,              0.1715,            0.063512,             0.15288,            0.027875,           0.0087804,           0.0087804,           0.0087804
                  26,            0.067177,             0.20201,            0.034515,             0.50678,             0.33239,             0.34171,             0.17324,            0.063379,             0.15285,            0.027709,            0.008682,            0.008682,            0.008682
                  27,            0.067062,             0.20121,            0.034389,             0.46612,              0.3541,             0.34234,             0.17406,            0.063326,             0.15256,            0.027517,           0.0085805,           0.0085805,           0.0085805
                  28,            0.067012,             0.20126,            0.034317,             0.46583,             0.35572,             0.34626,             0.17477,            0.063258,             0.15244,            0.027407,           0.0084759,           0.0084759,           0.0084759
                  29,             0.06695,             0.20125,             0.03413,             0.48737,             0.34762,             0.34747,             0.17768,            0.063181,             0.15235,            0.027242,           0.0083684,           0.0083684,           0.0083684
                  30,            0.066856,             0.20089,            0.033996,             0.48328,             0.35242,             0.35165,              0.1786,            0.063073,             0.15218,            0.027083,           0.0082581,           0.0082581,           0.0082581
                  31,            0.066916,             0.20129,            0.033891,             0.47358,             0.35259,             0.34959,             0.17769,             0.06302,             0.15224,            0.026979,            0.008145,            0.008145,            0.008145
                  32,            0.066819,             0.20079,            0.033803,             0.50066,             0.34753,              0.3528,             0.17829,            0.063018,             0.15203,            0.026852,           0.0080294,           0.0080294,           0.0080294
                  33,            0.066667,             0.20121,            0.033734,             0.53141,             0.33562,             0.35561,             0.18022,            0.062925,              0.1519,            0.026732,           0.0079112,           0.0079112,           0.0079112
                  34,            0.066633,             0.20018,            0.033577,             0.51138,             0.34633,              0.3554,             0.18104,            0.062883,             0.15182,            0.026672,           0.0077907,           0.0077907,           0.0077907
                  35,            0.066595,             0.20041,             0.03349,              0.5015,             0.35292,             0.35908,             0.18251,            0.062819,             0.15172,            0.026504,           0.0076679,           0.0076679,           0.0076679
                  36,            0.066518,             0.19988,            0.033391,             0.50875,             0.34775,             0.35897,             0.18401,            0.062811,             0.15158,             0.02645,            0.007543,            0.007543,            0.007543
                  37,            0.066539,             0.20048,            0.033304,             0.50784,             0.35638,             0.36049,             0.18458,            0.062732,             0.15164,            0.026271,            0.007416,            0.007416,            0.007416
                  38,             0.06642,             0.20004,             0.03319,             0.50548,             0.35817,             0.36468,             0.18617,             0.06269,             0.15152,             0.02632,           0.0072872,           0.0072872,           0.0072872
                  39,            0.066412,             0.20021,            0.033104,              0.4767,             0.37205,             0.36421,             0.18591,             0.06262,             0.15138,            0.026138,           0.0071566,           0.0071566,           0.0071566
                  40,            0.066398,             0.19997,            0.032993,             0.49759,             0.36445,             0.36521,             0.18702,            0.062599,             0.15131,            0.026071,           0.0070243,           0.0070243,           0.0070243
                  41,            0.066311,             0.19971,            0.032884,              0.5129,             0.35262,             0.36675,             0.18737,            0.062529,             0.15112,            0.026035,           0.0068906,           0.0068906,           0.0068906
                  42,            0.066159,             0.19935,            0.032809,             0.47381,             0.37508,             0.36771,             0.18896,            0.062499,             0.15107,            0.025928,           0.0067555,           0.0067555,           0.0067555
                  43,            0.066099,             0.19955,            0.032672,             0.49163,             0.36965,             0.36898,             0.18906,            0.062453,             0.15105,            0.025861,           0.0066191,           0.0066191,           0.0066191
                  44,            0.066106,             0.19886,             0.03263,              0.4782,             0.37637,             0.36905,             0.18834,             0.06245,             0.15107,            0.025873,           0.0064816,           0.0064816,           0.0064816
                  45,            0.065956,             0.19823,            0.032515,             0.50187,             0.36431,             0.36998,             0.18899,            0.062371,             0.15094,            0.025687,           0.0063432,           0.0063432,           0.0063432
                  46,            0.065926,             0.19886,            0.032379,             0.52138,             0.35914,             0.37182,             0.19035,            0.062315,             0.15094,            0.025592,            0.006204,            0.006204,            0.006204
                  47,            0.065933,             0.19894,            0.032219,             0.52791,             0.35658,              0.3734,             0.19044,            0.062299,             0.15079,            0.025489,            0.006064,            0.006064,            0.006064
                  48,            0.065865,             0.19877,            0.032085,              0.5002,             0.37476,             0.37522,             0.19297,            0.062272,              0.1507,            0.025561,           0.0059235,           0.0059235,           0.0059235
                  49,            0.065751,             0.19849,            0.032056,             0.50583,             0.36577,             0.37462,             0.19247,            0.062254,             0.15066,             0.02546,           0.0057826,           0.0057826,           0.0057826
                  50,            0.065657,             0.19868,             0.03191,             0.50204,             0.36957,             0.37714,             0.19267,            0.062215,             0.15062,            0.025329,           0.0056413,           0.0056413,           0.0056413
                  51,            0.065609,             0.19796,             0.03182,             0.50646,             0.37398,             0.37675,             0.19298,            0.062151,             0.15055,             0.02528,              0.0055,              0.0055,              0.0055
                  52,            0.065459,             0.19744,             0.03181,             0.53577,              0.3606,             0.37897,             0.19535,            0.062121,             0.15057,            0.025252,           0.0053587,           0.0053587,           0.0053587
                  53,            0.065471,             0.19748,            0.031671,             0.52058,             0.36845,             0.38001,             0.19616,            0.062113,             0.15046,            0.025146,           0.0052174,           0.0052174,           0.0052174
                  54,            0.065355,             0.19761,            0.031509,              0.5195,              0.3679,             0.37932,             0.19531,            0.062063,             0.15039,            0.025128,           0.0050765,           0.0050765,           0.0050765
                  55,            0.065316,             0.19749,            0.031414,             0.52538,             0.36694,             0.38063,             0.19567,            0.062004,             0.15024,            0.025037,            0.004936,            0.004936,            0.004936
                  56,            0.065251,             0.19684,             0.03119,             0.52303,             0.37183,             0.38157,             0.19742,            0.061953,             0.15023,            0.024946,            0.004796,            0.004796,            0.004796
                  57,            0.065174,             0.19721,            0.031164,             0.53618,             0.36287,             0.38285,             0.19741,            0.061975,             0.15014,             0.02496,           0.0046568,           0.0046568,           0.0046568
                  58,            0.065133,              0.1969,            0.030987,             0.52363,             0.37497,             0.38543,             0.19894,            0.061877,              0.1501,            0.024867,           0.0045184,           0.0045184,           0.0045184
                  59,            0.065063,             0.19635,             0.03091,             0.52251,             0.37268,             0.38281,             0.19749,            0.061875,             0.15012,            0.024807,           0.0043809,           0.0043809,           0.0043809
                  60,            0.064963,             0.19661,            0.030871,              0.5183,             0.37989,             0.38642,             0.19998,            0.061864,             0.14996,            0.024716,           0.0042445,           0.0042445,           0.0042445
                  61,            0.064886,             0.19683,            0.030641,             0.52216,             0.37925,              0.3848,             0.19926,            0.061801,              0.1501,            0.024774,           0.0041094,           0.0041094,           0.0041094
                  62,             0.06484,             0.19639,            0.030663,             0.53228,             0.37195,             0.38607,             0.20035,            0.061778,             0.14993,            0.024707,           0.0039757,           0.0039757,           0.0039757
                  63,             0.06475,             0.19645,            0.030527,             0.52059,             0.37848,             0.38717,             0.20121,            0.061768,             0.14981,             0.02459,           0.0038434,           0.0038434,           0.0038434
                  64,            0.064567,             0.19555,             0.03031,             0.53723,             0.37004,             0.38804,             0.20159,            0.061703,             0.14993,            0.024578,           0.0037128,           0.0037128,           0.0037128
                  65,            0.064489,             0.19507,            0.030315,             0.53269,              0.3732,             0.38847,             0.20279,            0.061675,              0.1496,            0.024473,            0.003584,            0.003584,            0.003584
                  66,            0.064475,             0.19595,            0.030131,              0.5274,             0.38142,             0.39116,             0.20356,            0.061668,              0.1496,            0.024482,            0.003457,            0.003457,            0.003457
                  67,             0.06433,             0.19528,            0.029977,              0.5325,             0.37967,              0.3918,              0.2032,            0.061628,             0.14951,            0.024392,           0.0033321,           0.0033321,           0.0033321
                  68,            0.064355,             0.19469,             0.02992,             0.54245,             0.37433,             0.39445,             0.20504,            0.061542,             0.14935,            0.024364,           0.0032093,           0.0032093,           0.0032093
                  69,            0.064294,             0.19505,            0.029744,             0.54603,             0.37962,             0.39317,             0.20433,            0.061568,             0.14941,            0.024253,           0.0030888,           0.0030888,           0.0030888
                  70,            0.064141,             0.19497,            0.029614,             0.54422,             0.37862,             0.39433,              0.2044,            0.061485,             0.14927,            0.024194,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064033,             0.19398,            0.029493,             0.53922,             0.37903,             0.39439,             0.20614,            0.061473,             0.14937,            0.024088,            0.002855,            0.002855,            0.002855
                  72,            0.063948,             0.19424,            0.029476,             0.56159,             0.37273,             0.39657,             0.20705,            0.061441,             0.14933,            0.024144,           0.0027419,           0.0027419,           0.0027419
                  73,            0.063883,             0.19407,             0.02923,             0.53794,             0.38491,             0.39809,             0.20714,            0.061391,             0.14924,            0.024079,           0.0026316,           0.0026316,           0.0026316
                  74,            0.063838,             0.19427,            0.029182,             0.53466,             0.38555,             0.39912,              0.2077,            0.061356,             0.14925,            0.023991,           0.0025241,           0.0025241,           0.0025241
                  75,            0.063789,             0.19364,             0.02903,              0.4926,             0.40549,             0.39958,             0.20925,            0.061342,             0.14922,            0.024011,           0.0024195,           0.0024195,           0.0024195
                  76,            0.063656,             0.19339,            0.028992,             0.55909,             0.37304,             0.39934,             0.20824,            0.061351,             0.14932,            0.023915,            0.002318,            0.002318,            0.002318
                  77,            0.063596,              0.1933,            0.028816,             0.56713,             0.37535,             0.40219,             0.21073,            0.061325,             0.14928,            0.023877,           0.0022196,           0.0022196,           0.0022196
                  78,            0.063585,              0.1929,            0.028785,             0.52697,             0.39252,             0.40143,             0.20978,            0.061281,              0.1492,            0.023845,           0.0021245,           0.0021245,           0.0021245
                  79,            0.063459,             0.19285,            0.028572,             0.54557,             0.38811,             0.40112,             0.20988,            0.061319,             0.14914,            0.023799,           0.0020327,           0.0020327,           0.0020327
