               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098693,             0.22148,            0.082002,           0.0028145,            0.030847,           0.0024266,          0.00070401,            0.092166,             0.17787,             0.07867,           0.0033329,           0.0033329,            0.070004
                   1,            0.087594,             0.22498,            0.075488,              0.5301,            0.036865,            0.016788,           0.0052825,            0.083637,             0.17336,            0.068614,           0.0066647,           0.0066647,            0.040003
                   2,             0.08179,             0.22414,            0.065588,             0.19053,             0.12401,            0.049424,             0.01757,            0.077927,             0.17014,             0.05688,           0.0099907,           0.0099907,           0.0099952
                   3,            0.078056,             0.22059,            0.056487,             0.24898,             0.16855,            0.097324,            0.037565,            0.074665,             0.16726,            0.048206,             0.00998,             0.00998,             0.00998
                   4,            0.075718,             0.21714,            0.050843,             0.26925,               0.186,             0.12804,            0.052749,            0.072846,             0.16535,            0.043896,             0.00998,             0.00998,             0.00998
                   5,            0.074232,             0.21489,            0.047438,             0.25395,             0.21304,             0.15367,             0.06467,            0.071714,             0.16401,            0.041525,           0.0099645,           0.0099645,           0.0099645
                   6,             0.07299,             0.21263,            0.045167,             0.28544,             0.23034,             0.16912,            0.073423,            0.070942,             0.16298,            0.040054,           0.0099446,           0.0099446,           0.0099446
                   7,            0.072228,             0.21133,            0.043482,             0.31923,             0.22186,             0.17792,             0.07869,            0.070462,             0.16218,            0.039115,           0.0099203,           0.0099203,           0.0099203
                   8,            0.071634,             0.21061,             0.04218,              0.3169,             0.23739,             0.18836,            0.083388,            0.070067,             0.16157,            0.038263,           0.0098916,           0.0098916,           0.0098916
                   9,             0.07114,             0.20929,            0.041135,             0.34273,              0.2325,             0.19842,            0.089001,            0.069611,             0.16108,            0.037553,           0.0098586,           0.0098586,           0.0098586
                  10,            0.070695,             0.20831,             0.04034,             0.34172,             0.24668,             0.20747,            0.093992,            0.069278,             0.16064,            0.036824,           0.0098213,           0.0098213,           0.0098213
                  11,            0.070362,             0.20835,            0.039594,             0.38623,             0.23841,             0.21609,            0.098371,            0.068927,             0.16003,            0.036128,           0.0097798,           0.0097798,           0.0097798
                  12,            0.070141,             0.20722,             0.03907,              0.3463,             0.26619,             0.22354,             0.10335,            0.068582,             0.15945,            0.035428,            0.009734,            0.009734,            0.009734
                  13,            0.069833,             0.20663,            0.038494,             0.40639,             0.24914,             0.23307,             0.10819,              0.0682,             0.15886,            0.034713,            0.009684,            0.009684,            0.009684
                  14,            0.069536,             0.20586,            0.038096,             0.39268,             0.26809,              0.2424,             0.11245,            0.067855,             0.15838,             0.03418,           0.0096299,           0.0096299,           0.0096299
                  15,            0.069329,             0.20596,            0.037717,             0.43056,             0.26379,             0.25337,             0.11865,            0.067523,             0.15783,            0.033425,           0.0095717,           0.0095717,           0.0095717
                  16,            0.069135,              0.2052,            0.037381,              0.4216,             0.27267,             0.26162,             0.12361,            0.067134,             0.15728,            0.032818,           0.0095095,           0.0095095,           0.0095095
                  17,            0.069034,             0.20529,            0.037176,             0.44976,             0.27331,             0.26876,             0.12704,            0.066837,             0.15693,            0.032264,           0.0094434,           0.0094434,           0.0094434
                  18,            0.068788,             0.20397,            0.036887,             0.44873,             0.28461,             0.27613,             0.13173,            0.066507,             0.15663,             0.03178,           0.0093733,           0.0093733,           0.0093733
                  19,            0.068658,             0.20469,            0.036622,             0.44524,             0.29034,             0.28263,             0.13547,            0.066244,             0.15629,            0.031398,           0.0092995,           0.0092995,           0.0092995
                  20,            0.068563,             0.20398,            0.036304,             0.44938,             0.29475,             0.28776,             0.13828,            0.065982,              0.1559,            0.030882,           0.0092219,           0.0092219,           0.0092219
                  21,            0.068435,             0.20361,            0.036194,             0.45278,             0.30104,             0.29522,             0.14268,            0.065741,             0.15551,            0.030549,           0.0091406,           0.0091406,           0.0091406
                  22,            0.068373,             0.20407,            0.035954,             0.46897,             0.29791,             0.29878,              0.1448,            0.065536,             0.15521,             0.03022,           0.0090557,           0.0090557,           0.0090557
                  23,            0.068249,             0.20373,            0.035805,             0.47417,             0.30419,             0.30471,              0.1492,            0.065381,             0.15492,            0.029885,           0.0089673,           0.0089673,           0.0089673
                  24,            0.068235,             0.20372,            0.035656,             0.44514,              0.3236,             0.30882,             0.15059,            0.065181,              0.1547,            0.029554,           0.0088755,           0.0088755,           0.0088755
                  25,            0.068023,             0.20322,             0.03547,             0.45466,             0.32301,             0.31326,             0.15352,            0.064991,             0.15436,            0.029351,           0.0087804,           0.0087804,           0.0087804
                  26,            0.067931,             0.20328,            0.035289,             0.48332,             0.31046,             0.31635,             0.15536,            0.064841,             0.15427,            0.029079,            0.008682,            0.008682,            0.008682
                  27,            0.067791,             0.20239,            0.035114,             0.46853,             0.32381,             0.31984,             0.15781,            0.064678,             0.15419,             0.02881,           0.0085805,           0.0085805,           0.0085805
                  28,            0.067728,             0.20244,            0.035029,             0.49707,             0.31447,             0.32281,             0.15862,            0.064567,             0.15402,            0.028621,           0.0084759,           0.0084759,           0.0084759
                  29,            0.067673,             0.20234,            0.034847,             0.46893,             0.33162,              0.3264,             0.16185,             0.06439,             0.15362,            0.028384,           0.0083684,           0.0083684,           0.0083684
                  30,            0.067528,             0.20212,            0.034691,             0.48244,             0.32324,             0.32621,             0.16237,            0.064302,             0.15382,             0.02815,           0.0082581,           0.0082581,           0.0082581
                  31,            0.067579,             0.20243,            0.034567,             0.50282,             0.32392,             0.33063,             0.16424,            0.064198,             0.15345,            0.028083,            0.008145,            0.008145,            0.008145
                  32,            0.067459,             0.20192,            0.034479,             0.50197,             0.32457,              0.3318,             0.16504,            0.064103,             0.15332,            0.027851,           0.0080294,           0.0080294,           0.0080294
                  33,            0.067285,             0.20228,            0.034367,             0.50382,             0.32178,             0.33293,             0.16717,            0.063962,             0.15322,            0.027784,           0.0079112,           0.0079112,           0.0079112
                  34,            0.067223,             0.20126,            0.034226,             0.49854,             0.33218,               0.337,             0.16877,            0.063875,             0.15299,            0.027656,           0.0077907,           0.0077907,           0.0077907
                  35,            0.067176,             0.20146,              0.0341,             0.48823,             0.33698,             0.33851,             0.17025,            0.063762,             0.15302,            0.027467,           0.0076679,           0.0076679,           0.0076679
                  36,             0.06709,             0.20098,            0.034027,             0.50897,             0.33058,             0.34108,             0.17061,            0.063706,             0.15285,            0.027395,            0.007543,            0.007543,            0.007543
                  37,            0.067079,             0.20146,            0.033879,             0.47848,             0.35343,             0.34242,              0.1713,            0.063603,             0.15273,            0.027252,            0.007416,            0.007416,            0.007416
                  38,            0.066986,             0.20109,            0.033782,             0.48672,             0.34256,             0.34397,             0.17335,            0.063532,             0.15275,            0.027163,           0.0072872,           0.0072872,           0.0072872
                  39,            0.066923,             0.20119,            0.033664,             0.51421,             0.33595,              0.3471,             0.17277,            0.063456,             0.15264,            0.027065,           0.0071566,           0.0071566,           0.0071566
                  40,            0.066923,               0.201,            0.033548,             0.50065,             0.34484,             0.34829,             0.17582,            0.063387,             0.15261,            0.026957,           0.0070243,           0.0070243,           0.0070243
