               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.098,             0.22359,            0.081647,           0.0037175,            0.035212,           0.0030105,          0.00089562,            0.092106,             0.18228,            0.077506,           0.0033329,           0.0033329,            0.070004
                   1,             0.08979,             0.22958,            0.075472,             0.39421,            0.052935,            0.013996,           0.0043049,            0.085739,             0.18848,            0.069751,           0.0066647,           0.0066647,            0.040003
                   2,            0.084033,             0.22908,            0.067615,             0.32532,            0.091146,            0.044547,            0.016273,            0.079869,             0.17916,            0.058908,           0.0099907,           0.0099907,           0.0099952
                   3,            0.078896,             0.22482,            0.058196,             0.25599,             0.15809,            0.090288,             0.03527,            0.075509,             0.17328,            0.049985,             0.00998,             0.00998,             0.00998
                   4,            0.075805,             0.22063,            0.051654,             0.27363,             0.17537,             0.12894,            0.053715,            0.073106,             0.16957,             0.04501,             0.00998,             0.00998,             0.00998
                   5,            0.074041,             0.21779,            0.047716,             0.28757,             0.20558,              0.1533,            0.067153,            0.071666,             0.16771,            0.042178,           0.0099645,           0.0099645,           0.0099645
                   6,            0.072801,             0.21564,            0.045531,             0.32206,              0.2073,             0.17145,            0.075846,            0.070858,             0.16617,            0.040631,           0.0099446,           0.0099446,           0.0099446
                   7,             0.07204,             0.21433,            0.043846,             0.32472,             0.22052,             0.18332,            0.082036,            0.070351,             0.16544,            0.039703,           0.0099203,           0.0099203,           0.0099203
                   8,            0.071462,             0.21352,             0.04261,             0.30952,             0.23109,             0.19042,            0.086191,            0.069909,             0.16485,            0.038832,           0.0098916,           0.0098916,           0.0098916
                   9,            0.070953,             0.21264,            0.041738,              0.3333,             0.22846,             0.19884,             0.09062,            0.069652,             0.16462,            0.038301,           0.0098586,           0.0098586,           0.0098586
