               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097966,              0.2217,            0.081465,           0.0039986,            0.035607,           0.0028642,          0.00080407,            0.092906,             0.17751,            0.076947,           0.0033329,           0.0033329,            0.070004
                   1,            0.088515,             0.22669,            0.073212,             0.53988,            0.042573,            0.019854,           0.0062718,             0.08491,             0.17624,            0.065878,           0.0066647,           0.0066647,            0.040003
                   2,              0.0824,             0.22534,            0.063466,             0.34773,             0.10581,            0.063774,            0.023369,            0.078679,             0.17329,            0.054963,           0.0099907,           0.0099907,           0.0099952
                   3,            0.077799,             0.22147,            0.054602,             0.26381,              0.1955,             0.11965,            0.049397,            0.074385,              0.1694,            0.046527,             0.00998,             0.00998,             0.00998
                   4,            0.075023,             0.21788,            0.049136,             0.31665,             0.20004,             0.15646,            0.067676,            0.072141,             0.16729,            0.042207,             0.00998,             0.00998,             0.00998
                   5,            0.073407,             0.21542,            0.045919,             0.34498,             0.22022,             0.18186,             0.08057,             0.07087,             0.16559,            0.039893,           0.0099645,           0.0099645,           0.0099645
                   6,            0.072151,             0.21294,             0.04385,             0.36875,             0.22623,             0.19875,            0.088535,            0.070057,             0.16462,            0.038496,           0.0099446,           0.0099446,           0.0099446
                   7,             0.07142,             0.21159,            0.042334,             0.37568,             0.23909,             0.20866,            0.094935,            0.069487,             0.16383,            0.037566,           0.0099203,           0.0099203,           0.0099203
                   8,            0.070879,             0.21097,            0.041251,             0.38958,             0.24129,             0.21648,            0.099292,            0.069026,             0.16308,            0.036822,           0.0098916,           0.0098916,           0.0098916
                   9,             0.07043,             0.20968,            0.040425,             0.35155,             0.27194,             0.22687,             0.10484,            0.068637,             0.16249,            0.036157,           0.0098586,           0.0098586,           0.0098586
                  10,            0.070002,             0.20872,            0.039681,             0.40843,             0.24719,              0.2329,             0.10824,             0.06825,             0.16175,            0.035554,           0.0098213,           0.0098213,           0.0098213
                  11,            0.069673,             0.20881,            0.039025,             0.37434,             0.27285,             0.24258,             0.11361,            0.067894,             0.16113,            0.034928,           0.0097798,           0.0097798,           0.0097798
                  12,            0.069457,             0.20773,             0.03856,                0.39,             0.28114,             0.24972,             0.11748,            0.067569,             0.16068,            0.034398,            0.009734,            0.009734,            0.009734
                  13,            0.069241,             0.20719,             0.03817,              0.4244,             0.27602,             0.25746,             0.12244,            0.067221,                0.16,            0.033753,            0.009684,            0.009684,            0.009684
                  14,             0.06896,             0.20648,            0.037796,             0.44111,             0.27567,             0.26333,             0.12581,            0.066899,             0.15953,            0.033255,           0.0096299,           0.0096299,           0.0096299
                  15,            0.068753,             0.20661,            0.037515,             0.44202,             0.28635,             0.27156,             0.13077,            0.066575,             0.15907,            0.032737,           0.0095717,           0.0095717,           0.0095717
                  16,            0.068618,               0.206,            0.037226,             0.43702,             0.29588,             0.27935,             0.13478,            0.066325,             0.15856,            0.032263,           0.0095095,           0.0095095,           0.0095095
