               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096422,             0.22107,            0.081677,            0.066588,            0.058995,           0.0041025,           0.0012782,            0.088927,             0.17376,            0.077545,           0.0033329,           0.0033329,            0.070004
                   1,            0.083794,             0.22329,            0.072595,             0.31345,             0.10337,             0.03372,            0.012775,            0.078289,             0.17101,            0.062898,           0.0066647,           0.0066647,            0.040003
                   2,            0.077533,             0.21982,              0.0598,             0.27641,             0.16005,            0.098369,            0.041757,            0.072875,             0.16651,            0.049493,           0.0099907,           0.0099907,           0.0099952
                   3,             0.07429,             0.21559,            0.050673,             0.32202,             0.20095,             0.15636,            0.069944,            0.070001,             0.16331,            0.041969,             0.00998,             0.00998,             0.00998
                   4,            0.072289,             0.21233,            0.045839,             0.34407,               0.238,             0.19401,            0.088995,            0.068512,             0.16112,            0.038352,             0.00998,             0.00998,             0.00998
                   5,            0.071215,              0.2105,            0.043168,             0.37442,             0.24055,             0.21599,             0.10035,            0.067686,             0.16003,            0.036542,           0.0099645,           0.0099645,           0.0099645
                   6,            0.070287,             0.20846,             0.04146,             0.40793,             0.24799,             0.22978,             0.10857,            0.067197,               0.159,            0.035391,           0.0099446,           0.0099446,           0.0099446
                   7,            0.069758,             0.20739,             0.04013,             0.41738,              0.2575,             0.24109,             0.11523,            0.066868,             0.15831,            0.034648,           0.0099203,           0.0099203,           0.0099203
                   8,            0.069385,             0.20701,            0.039233,             0.39402,             0.27692,             0.24877,             0.11973,            0.066638,             0.15789,            0.034048,           0.0098916,           0.0098916,           0.0098916
                   9,            0.069096,             0.20597,            0.038527,              0.4128,             0.27842,             0.25522,             0.12356,            0.066368,             0.15742,            0.033541,           0.0098586,           0.0098586,           0.0098586
                  10,            0.068805,              0.2052,            0.038001,             0.41295,              0.2838,             0.26203,             0.12743,            0.066156,             0.15693,             0.03307,           0.0098213,           0.0098213,           0.0098213
                  11,             0.06861,             0.20551,            0.037475,             0.43824,             0.28407,             0.27108,              0.1327,            0.065934,             0.15651,            0.032561,           0.0097798,           0.0097798,           0.0097798
                  12,            0.068504,             0.20453,            0.037147,             0.44441,             0.28896,             0.27651,             0.13531,            0.065717,             0.15609,            0.032146,            0.009734,            0.009734,            0.009734
                  13,            0.068349,             0.20419,            0.036793,              0.4476,             0.29405,             0.28352,             0.13978,            0.065464,             0.15561,            0.031591,            0.009684,            0.009684,            0.009684
                  14,            0.068124,             0.20361,            0.036482,             0.46047,              0.2985,             0.28912,             0.14302,            0.065221,             0.15527,            0.031163,           0.0096299,           0.0096299,           0.0096299
                  15,            0.067985,             0.20375,            0.036182,             0.47267,             0.29808,             0.29569,             0.14625,            0.065065,             0.15489,            0.030745,           0.0095717,           0.0095717,           0.0095717
                  16,            0.067892,             0.20314,            0.035945,             0.45817,             0.31059,             0.30012,             0.14848,            0.064872,             0.15459,             0.03033,           0.0095095,           0.0095095,           0.0095095
                  17,             0.06785,             0.20319,            0.035805,             0.44497,             0.32455,              0.3058,             0.15222,            0.064652,             0.15436,            0.029939,           0.0094434,           0.0094434,           0.0094434
                  18,            0.067672,             0.20206,              0.0356,              0.4696,              0.3155,             0.31152,             0.15473,            0.064511,             0.15416,            0.029581,           0.0093733,           0.0093733,           0.0093733
                  19,            0.067579,             0.20277,            0.035405,             0.46563,              0.3194,             0.31776,             0.15867,            0.064341,             0.15381,             0.02928,           0.0092995,           0.0092995,           0.0092995
                  20,            0.067555,             0.20223,            0.035159,             0.49639,             0.31089,             0.32009,             0.15974,            0.064173,              0.1535,            0.028987,           0.0092219,           0.0092219,           0.0092219
                  21,            0.067477,             0.20194,            0.035085,             0.46995,             0.32814,             0.32488,             0.16254,            0.064019,              0.1534,            0.028748,           0.0091406,           0.0091406,           0.0091406
                  22,            0.067452,             0.20249,            0.034948,             0.46685,              0.3344,             0.32786,             0.16522,            0.063883,             0.15324,            0.028456,           0.0090557,           0.0090557,           0.0090557
                  23,            0.067366,             0.20212,            0.034843,             0.48432,             0.33312,             0.33317,             0.16785,            0.063762,             0.15291,            0.028228,           0.0089673,           0.0089673,           0.0089673
                  24,            0.067393,             0.20229,            0.034681,             0.47288,             0.33864,             0.33415,             0.16825,            0.063651,             0.15294,            0.028036,           0.0088755,           0.0088755,           0.0088755
                  25,            0.067187,             0.20173,            0.034585,             0.48695,             0.33778,             0.33775,             0.17043,              0.0636,             0.15287,            0.027831,           0.0087804,           0.0087804,           0.0087804
