               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098705,             0.22125,            0.082003,           0.0026299,            0.034266,           0.0023814,          0.00066446,             0.09203,             0.17493,            0.078664,           0.0033329,           0.0033329,            0.070004
                   1,            0.087611,             0.22481,            0.075477,             0.36507,            0.054954,            0.016563,            0.005088,            0.083613,             0.17399,            0.068492,           0.0066647,           0.0066647,            0.040003
                   2,             0.08182,             0.22406,            0.065598,             0.28909,            0.092256,            0.049719,            0.017721,            0.078086,             0.17051,            0.056839,           0.0099907,           0.0099907,           0.0099952
                   3,            0.078061,             0.22048,            0.056544,             0.24296,             0.15909,            0.095996,            0.037737,            0.074696,             0.16731,            0.048242,             0.00998,             0.00998,             0.00998
                   4,            0.075732,             0.21704,            0.050874,             0.28263,             0.18681,             0.13014,            0.053365,            0.072867,             0.16517,            0.043843,             0.00998,             0.00998,             0.00998
                   5,            0.074243,             0.21476,            0.047404,             0.28739,             0.21103,             0.15409,            0.065201,            0.071774,              0.1637,            0.041491,           0.0099645,           0.0099645,           0.0099645
                   6,            0.073005,             0.21251,            0.045161,             0.31551,              0.2157,             0.16973,            0.073082,            0.071024,             0.16279,            0.039999,           0.0099446,           0.0099446,           0.0099446
                   7,            0.072192,             0.21112,            0.043405,             0.31789,             0.22288,             0.18143,            0.079894,            0.070469,             0.16217,            0.038898,           0.0099203,           0.0099203,           0.0099203
                   8,            0.071604,             0.21034,            0.042079,             0.34081,             0.22818,             0.19083,            0.084719,            0.070051,              0.1615,            0.038107,           0.0098916,           0.0098916,           0.0098916
                   9,            0.071108,              0.2091,            0.041058,             0.32861,             0.24601,             0.20093,            0.089788,            0.069667,             0.16102,            0.037372,           0.0098586,           0.0098586,           0.0098586
                  10,            0.070661,             0.20817,            0.040314,             0.34877,             0.24183,             0.20821,            0.093668,            0.069304,             0.16035,            0.036674,           0.0098213,           0.0098213,           0.0098213
                  11,            0.070358,             0.20825,            0.039597,             0.33678,             0.26424,             0.21852,            0.099443,              0.0689,              0.1599,            0.036005,           0.0097798,           0.0097798,           0.0097798
                  12,            0.070091,             0.20703,            0.038978,             0.38545,             0.25641,             0.22942,             0.10567,            0.068539,             0.15936,             0.03531,            0.009734,            0.009734,            0.009734
                  13,            0.069799,              0.2064,            0.038476,             0.36712,             0.27177,              0.2359,             0.10971,            0.068186,             0.15876,            0.034641,            0.009684,            0.009684,            0.009684
                  14,            0.069502,             0.20572,            0.038064,             0.40711,             0.26191,             0.24608,             0.11458,            0.067825,             0.15821,            0.034009,           0.0096299,           0.0096299,           0.0096299
                  15,            0.069273,             0.20573,            0.037638,             0.38722,             0.28132,             0.25437,             0.11794,            0.067501,             0.15772,            0.033353,           0.0095717,           0.0095717,           0.0095717
                  16,            0.069095,             0.20504,            0.037319,             0.42011,             0.27041,             0.26062,             0.12264,            0.067153,             0.15722,             0.03272,           0.0095095,           0.0095095,           0.0095095
                  17,            0.068967,             0.20506,            0.037082,             0.40425,             0.29176,             0.26885,              0.1279,            0.066789,              0.1568,            0.032128,           0.0094434,           0.0094434,           0.0094434
                  18,            0.068726,             0.20375,            0.036764,             0.41858,              0.2916,             0.27481,             0.13122,            0.066499,             0.15638,             0.03171,           0.0093733,           0.0093733,           0.0093733
                  19,            0.068582,             0.20436,            0.036519,             0.42996,              0.2942,             0.28268,             0.13561,            0.066221,             0.15596,             0.03118,           0.0092995,           0.0092995,           0.0092995
                  20,             0.06851,             0.20382,            0.036192,             0.42903,             0.30359,             0.28795,             0.13933,            0.065927,             0.15577,            0.030762,           0.0092219,           0.0092219,           0.0092219
                  21,            0.068409,             0.20343,            0.036131,             0.43107,             0.30778,             0.29416,             0.14255,              0.0657,             0.15541,            0.030418,           0.0091406,           0.0091406,           0.0091406
